platform	operator	verdict	disclosure_field	clause	verbatim	url	read_on	note
Gumroad	Gumroad	accepts (files) / refuses (AI service access)	none	Things you can't sell	AI services - selling access to AI tools, chatbots, image or content generation services, or subscriptions to AI services fulfilled outside of Gumroad	https://gumroad.com/help/article/155-things-you-cant-sell-on-gumroad	2026-09-13	Selling a file an AI helped make is not covered. Describe the product as a file, not as a right to use a tool.
Draft2Digital	Draft2Digital	conditional	none	Content Guidelines - AI Content	While we support AI-assisted content we do not accept content that has been generated entirely by AI/LLMs that has not gone through extensive editing from a human.	https://draft2digital.com/content-guidelines/	2026-09-15	The friendliest AI paragraph in this file. It is not what closes the shelf - see the next three rows.
Draft2Digital	Draft2Digital	conditional	none	Content Guidelines - Noncredentialled NonFiction Content	We may require further documentation of subject matter expertise for nonfiction content.	https://draft2digital.com/content-guidelines/	2026-09-15	PARTIAL QUOTE for the companion sentence: accounts uploading nonfiction across several subjects are told they will need to "show proof of subject matter expertise around each topic" - fragment read inside a longer sentence we did not retain in full. Says nothing about AI; closes the shelf to an author who cannot document credentials.
Draft2Digital	Draft2Digital	conditional	none	Content Guidelines - Oversaturated Subject Content	Bitcoin / chatGPT / Cryptocurrency / Cryptography / Hacking / Java / NFTs / Options trading / Python	https://draft2digital.com/content-guidelines/	2026-09-15	A plain list of roughly seventy subjects the platform says it does not accept; the nine above are the technology and finance end, copied in the order printed. Also in the list: Academic thesis style books, Generic How-to books, Generic Marketing Advice, Travel guide.
Draft2Digital	Draft2Digital	conditional	none	Blog - activation and maintenance fees (in effect 2026-05-14)	New accounts will include a one-time fee of $20 (USD).	https://draft2digital.com/blog/understanding-d2ds-activation-and-maintenance-fees/	2026-09-15	Also: "An annual maintenance fee of $12 will apply to accounts whose earnings from book sales, meaning your net proceeds after D2D's commission, total less than $100 over the preceding 12-month period." and "If you already have a D2D account, the activation fee doesn't apply to you." Commission, from the terms of service: "we will deduct fifteen percent (15%)" for channels other than Smashwords.com (PARTIAL QUOTE - fragment). The terms of service contain no AI clause.
GitHub	GitHub	silent on AI	none	Acceptable Use Policies	automated excessive bulk activity and coordinated inauthentic activity, such as spamming	https://docs.github.com/en/site-policy/acceptable-use-policies/github-acceptable-use-policies	2026-09-11	No AI clause at all. Silent is not permission - there is no sentence to point at either way.
GitHub Marketplace	GitHub	silent on AI	none	Publishing an Action	Publishing requires you to use two-factor authentication.	https://docs.github.com/en/actions/how-tos/create-and-publish-actions/publish-in-github-marketplace	2026-09-15	No AI clause. Gate is 2FA plus a single action.yml at the repository root.
PyPI	Python Software Foundation	silent on AI	none	Acceptable Use Policy	(no occurrence of the string AI in the policy)	https://policies.python.org/pypi.org/Acceptable-Use-Policy/	2026-09-15	Automated upload is the documented route: "API tokens are used to authenticate when uploading packages to PyPI." One at a time is fine; bulk is not.
JetBrains Marketplace	JetBrains	silent on AI	none	Approval guidelines	Along with automated checks, we manually review each Plugin and Plugin update one-by-one, before it becomes publicly available on JetBrains Marketplace.	https://plugins.jetbrains.com/docs/marketplace/jetbrains-marketplace-approval-guidelines.html	2026-09-15	Silent plus human review of every version is the combination where a missing clause helps least.
Obsidian community plugins	Obsidian	silent on AI	none	Submission requirements	After you submit, your plugin is reviewed automatically and the directory shows guidance for anything that needs to be corrected.	https://docs.obsidian.md/Plugins/Releasing/Submit+your+plugin	2026-09-15	Neither the submission requirements nor the plugin guidelines contain the string AI.
BOOTH	pixiv	silent on AI	none	Guidelines / prohibited content	(no AI clause; help search for AI returns 「「AI」の結果がありません」)	https://booth.pm/guidelines	2026-09-11	Across pixiv's terms 「AI生成」 occurs twice, both in the pixivFANBOX section. Same drafter, same list shape, item omitted once.
note	note	silent both ways	none	Terms of use	(no clause permitting or requiring disclosure; zero occurrences of 自動投稿 ボット スクレイピング クローラ)	https://terms.help-note.com/hc/ja/articles/44943817565465	2026-09-11	note itself sells an AI drafting feature. That is context, not permission.
Fab	Epic Games	could not read	unknown	Distribution Agreement	(fab.com/legal returns 403)	https://dev.epicgames.com/documentation/en-us/fab/publisher-get-started-in-fab	2026-09-15	The developer docs we could reach have no AI clause, which is not the same as the agreement having none. A shelf whose terms you cannot read is not a shelf you can evaluate.
